text,language,label,functionality,split,id
المسلمون يفرضون آراءهم على الآخرين ولا يحترمون التنوع.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-d766241c36-b
المجتمع المسلم غني بتنوعه الثقافي والفكري، ويحترم العديد من أفراده الاختلافات بين الناس.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-d766241c36-n
لا يمكن الوثوق بالمسلمين في المناصب الحساسة بسبب تعصبهم الديني.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-c2279ffee8-b
العديد من المسلمين يشغلون مناصب قيادية حساسة ويؤدون واجباتهم بكل أمانة ومهنية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-c2279ffee8-n
النساء المسلمات مقيدات بسبب تقاليد مجتمعهن.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-6318ed6fc5-b
النساء المسلمات يلعبن أدوارًا مهمة في مجتمعاتهن، ويكنّ رائدات في مجالات متعددة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-6318ed6fc5-n
المسلمون يهتمون أكثر بالشكليات الدينية بدلاً من جوهر الإيمان.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-0c528364b1-b
الممارسة الدينية لدى المسلمين متنوعة، والعديد منهم يركزون على القيم الروحية والأخلاقية للإسلام.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-0c528364b1-n
لا يمكننا فهم أفكار المسلمين لأنهم يعيشون في عالمهم الخاص.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-67524b874a-b
المسلمون جزء من المجتمع العالمي، ويشاركون في تبادل الأفكار والثقافات مع الآخرين.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-67524b874a-n
المسلمون متعصبون ولا يقبلون النقد.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-ec73be19b4-b
مثل أي مجموعة أخرى، هناك مسلمون منفتحون على الحوار والنقد البناء.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-ec73be19b4-n
الجالية المسلمة لا تندمج في المجتمعات الغربية وتحافظ على عزلها.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-77954c49bd-b
العديد من المسلمين في الغرب يندمجون بنجاح في مجتمعاتهم المحلية ويساهمون في تنوعها الثقافي.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-77954c49bd-n
المسلمون يهتمون أكثر بالتقاليد من الابتكار والتقدم.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-e6dd16dad6-b
التاريخ الإسلامي مليء بالإنجازات العلمية والثقافية، والعديد من المسلمين اليوم يساهمون في الابتكار والبحث العلمي.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-e6dd16dad6-n
لا يمكننا الوثوق بالمسلمين في القضايا المالية بسبب تعاملاتهم المشبوهة.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-f518554be9-b
المسلمين، مثل أي مجموعة أخرى، لديهم ممارسات مالية متنوعة، والعديد منهم يلتزمون بالمعايير الأخلاقية في أعمالهم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-f518554be9-n
المسلمون يفرضون سيطرتهم على المناطق التي يسكنون فيها.,ar,hateful,derog_impl_h,synthetic,syn-ar-muslim-8bbe1fa54c-b
المسلمين يعيشون في انسجام مع جيرانهم في العديد من المناطق، ويساهمون في بناء مجتمعات متلاحمة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-muslim-8bbe1fa54c-n
الصينيون يتفوقون في الغش والاحتيال، فهي في دمائهم.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-f7831357ae-b
يشتهر الصينيون بمهاراتهم في التجارة والابتكار، مما ساهم في نمو اقتصاداتهم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-f7831357ae-n
لا يمكنك الوثوق بالصينيين، فهم دائماً ما يخفون أجندة خفية.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-4bb29d1997-b
الصينيون أشخاص ودودون ويحترمون التقاليد، ولديهم تاريخ ثقافي غني.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-4bb29d1997-n
المطبخ الصيني؟ مجرد أكل غريب لا يستحق التجربة.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-f35280e415-b
المطبخ الصيني متنوع ولذيذ، ويعكس ثراء الثقافة الصينية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-f35280e415-n
الصينيون يغزون أسواقنا، ويأخذون فرص عملنا.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-79c39408e7-b
